"bulletin","ind","values","url","download_date","path_file","in_db"
"1844","Data (XLS)","20/03/2017","http://ec.europa.eu/energy/observatory/reports/2017_03_20_raw_data_1844.xls","2023-02-14","./data/raw/2017_03_20_raw_data_1844.xls",TRUE
"1845","Data (XLS)","27/03/2017","http://ec.europa.eu/energy/observatory/reports/2017_03_27_raw_data_1845.xls","2023-02-14","./data/raw/2017_03_27_raw_data_1845.xls",TRUE
"1846","Data (XLS)","03/04/2017","http://ec.europa.eu/energy/observatory/reports/2017_04_03_raw_data_1846.xls","2023-02-14","./data/raw/2017_04_03_raw_data_1846.xls",TRUE
"1847","Data (XLS)","10/04/2017","http://ec.europa.eu/energy/observatory/reports/2017_04_10_raw_data_1847.xls","2023-02-14","./data/raw/2017_04_10_raw_data_1847.xls",TRUE
"1848","Data (XLS)","24/04/2017","http://ec.europa.eu/energy/observatory/reports/2017_04_24_raw_data_1848.xls","2023-02-14","./data/raw/2017_04_24_raw_data_1848.xls",TRUE
"1849","Data (XLS)","01/05/2017","http://ec.europa.eu/energy/observatory/reports/2017_05_01_raw_data_1849.xls","2023-02-14","./data/raw/2017_05_01_raw_data_1849.xls",TRUE
"1850","Data (XLS)","08/05/2017","http://ec.europa.eu/energy/observatory/reports/2017_05_08_raw_data_1850.xls","2023-02-14","./data/raw/2017_05_08_raw_data_1850.xls",TRUE
"1851","Data (XLS)","15/05/2017","http://ec.europa.eu/energy/observatory/reports/2017_05_15_raw_data_1851.xls","2023-02-14","./data/raw/2017_05_15_raw_data_1851.xls",TRUE
"1852","Data (XLS)","22/05/2017","http://ec.europa.eu/energy/observatory/reports/2017_05_22_raw_data_1852.xls","2023-02-14","./data/raw/2017_05_22_raw_data_1852.xls",TRUE
"1853","Data (XLS)","29/05/2017","http://ec.europa.eu/energy/observatory/reports/2017_05_29_raw_data_1853.xls","2023-02-14","./data/raw/2017_05_29_raw_data_1853.xls",TRUE
"1854","Data (XLS)","05/06/2017","http://ec.europa.eu/energy/observatory/reports/2017_06_05_raw_data_1854.xls","2023-02-14","./data/raw/2017_06_05_raw_data_1854.xls",TRUE
"1855","Data (XLS)","12/06/2017","http://ec.europa.eu/energy/observatory/reports/2017_06_12_raw_data_1855.xls","2023-02-14","./data/raw/2017_06_12_raw_data_1855.xls",TRUE
"1856","Data (XLS)","19/06/2017","http://ec.europa.eu/energy/observatory/reports/2017_06_19_raw_data_1856.xls","2023-02-14","./data/raw/2017_06_19_raw_data_1856.xls",TRUE
"1857","Data (XLS)","26/06/2017","http://ec.europa.eu/energy/observatory/reports/2017_06_26_raw_data_1857.xls","2023-02-14","./data/raw/2017_06_26_raw_data_1857.xls",TRUE
"1858","Data (XLS)","03/07/2017","http://ec.europa.eu/energy/observatory/reports/2017_07_03_raw_data_1858.xls","2023-02-14","./data/raw/2017_07_03_raw_data_1858.xls",TRUE
"1859","Data (XLS)","10/07/2017","http://ec.europa.eu/energy/observatory/reports/2017_07_10_raw_data_1859.xls","2023-02-14","./data/raw/2017_07_10_raw_data_1859.xls",TRUE
"1860","Data (XLS)","17/07/2017","http://ec.europa.eu/energy/observatory/reports/2017_07_17_raw_data_1860.xls","2023-02-14","./data/raw/2017_07_17_raw_data_1860.xls",TRUE
"1861","Data (XLS)","24/07/2017","http://ec.europa.eu/energy/observatory/reports/2017_07_24_raw_data_1861.xls","2023-02-14","./data/raw/2017_07_24_raw_data_1861.xls",TRUE
"1862","Data (XLS)","31/07/2017","http://ec.europa.eu/energy/observatory/reports/2017_07_31_raw_data_1862.xls","2023-02-14","./data/raw/2017_07_31_raw_data_1862.xls",TRUE
"1863","Data (XLS)","07/08/2017","http://ec.europa.eu/energy/observatory/reports/2017_08_07_raw_data_1863.xls","2023-02-14","./data/raw/2017_08_07_raw_data_1863.xls",TRUE
"1864","Data (XLS)","14/08/2017","http://ec.europa.eu/energy/observatory/reports/2017_08_14_raw_data_1864.xls","2023-02-14","./data/raw/2017_08_14_raw_data_1864.xls",TRUE
"1865","Data (XLS)","21/08/2017","http://ec.europa.eu/energy/observatory/reports/2017_08_21_raw_data_1865.xls","2023-02-14","./data/raw/2017_08_21_raw_data_1865.xls",TRUE
"1866","Data (XLS)","28/08/2017","http://ec.europa.eu/energy/observatory/reports/2017_08_28_raw_data_1866.xls","2023-02-14","./data/raw/2017_08_28_raw_data_1866.xls",TRUE
"1867","Data (XLS)","04/09/2017","http://ec.europa.eu/energy/observatory/reports/2017_09_04_raw_data_1867.xls","2023-02-14","./data/raw/2017_09_04_raw_data_1867.xls",TRUE
"1868","Data (XLS)","11/09/2017","http://ec.europa.eu/energy/observatory/reports/2017_09_11_raw_data_1868.xls","2023-02-14","./data/raw/2017_09_11_raw_data_1868.xls",TRUE
"1869","Data (XLS)","18/09/2017","http://ec.europa.eu/energy/observatory/reports/2017_09_18_raw_data_1869.xls","2023-02-14","./data/raw/2017_09_18_raw_data_1869.xls",TRUE
"1870","Data (XLS)","25/09/2017","http://ec.europa.eu/energy/observatory/reports/2017_09_25_raw_data_1870.xls","2023-02-14","./data/raw/2017_09_25_raw_data_1870.xls",TRUE
"1871","Data (XLS)","02/10/2017","http://ec.europa.eu/energy/observatory/reports/2017_10_02_raw_data_1871.xls","2023-02-14","./data/raw/2017_10_02_raw_data_1871.xls",TRUE
"1872","Data (XLS)","09/10/2017","http://ec.europa.eu/energy/observatory/reports/2017_10_09_raw_data_1872.xls","2023-02-14","./data/raw/2017_10_09_raw_data_1872.xls",TRUE
"1873","Data (XLS)","16/10/2017","http://ec.europa.eu/energy/observatory/reports/2017_10_16_raw_data_1873.xls","2023-02-14","./data/raw/2017_10_16_raw_data_1873.xls",TRUE
"1874","Data (XLS)","23/10/2017","http://ec.europa.eu/energy/observatory/reports/2017_10_23_raw_data_1874.xls","2023-02-14","./data/raw/2017_10_23_raw_data_1874.xls",TRUE
"1875","Data (XLS)","30/10/2017","http://ec.europa.eu/energy/observatory/reports/2017_10_30_raw_data_1875.xls","2023-02-14","./data/raw/2017_10_30_raw_data_1875.xls",TRUE
"1876","Data (XLS)","06/11/2017","http://ec.europa.eu/energy/observatory/reports/2017_11_06_raw_data_1876.xls","2023-02-14","./data/raw/2017_11_06_raw_data_1876.xls",TRUE
"1877","Data (XLS)","13/11/2017","http://ec.europa.eu/energy/observatory/reports/2017_11_13_raw_data_1877.xls","2023-02-14","./data/raw/2017_11_13_raw_data_1877.xls",TRUE
"1878","Data (XLS)","20/11/2017","http://ec.europa.eu/energy/observatory/reports/2017_11_20_raw_data_1878.xls","2023-02-14","./data/raw/2017_11_20_raw_data_1878.xls",TRUE
"1879","Data (XLS)","27/11/2017","http://ec.europa.eu/energy/observatory/reports/2017_11_27_raw_data_1879.xls","2023-02-14","./data/raw/2017_11_27_raw_data_1879.xls",TRUE
"1880","Data (XLS)","04/12/2017","http://ec.europa.eu/energy/observatory/reports/2017_12_04_raw_data_1880.xls","2023-02-14","./data/raw/2017_12_04_raw_data_1880.xls",TRUE
"1881","Data (XLS)","11/12/2017","http://ec.europa.eu/energy/observatory/reports/2017_12_11_raw_data_1881.xls","2023-02-14","./data/raw/2017_12_11_raw_data_1881.xls",TRUE
"1882","Data (XLS)","18/12/2017","http://ec.europa.eu/energy/observatory/reports/2017_12_18_raw_data_1882.xls","2023-02-14","./data/raw/2017_12_18_raw_data_1882.xls",TRUE
"1883","Data (XLS)","01/01/2018","http://ec.europa.eu/energy/observatory/reports/2018_01_01_raw_data_1883.xls","2023-02-14","./data/raw/2018_01_01_raw_data_1883.xls",TRUE
"1884","Data (XLS)","08/01/2018","http://ec.europa.eu/energy/observatory/reports/2018_01_08_raw_data_1884.xls","2023-02-14","./data/raw/2018_01_08_raw_data_1884.xls",TRUE
"1885","Data (XLS)","15/01/2018","http://ec.europa.eu/energy/observatory/reports/2018_01_15_raw_data_1885.xls","2023-02-14","./data/raw/2018_01_15_raw_data_1885.xls",TRUE
"1886","Data (XLS)","22/01/2018","http://ec.europa.eu/energy/observatory/reports/2018_01_22_raw_data_1886.xls","2023-02-14","./data/raw/2018_01_22_raw_data_1886.xls",TRUE
"1887","Data (XLS)","29/01/2018","http://ec.europa.eu/energy/observatory/reports/2018_01_29_raw_data_1887.xls","2023-02-14","./data/raw/2018_01_29_raw_data_1887.xls",TRUE
"1888","Data (XLS)","05/02/2018","http://ec.europa.eu/energy/observatory/reports/2018_02_05_raw_data_1888.xls","2023-02-14","./data/raw/2018_02_05_raw_data_1888.xls",TRUE
"1889","Data (XLS)","12/02/2018","http://ec.europa.eu/energy/observatory/reports/2018_02_12_raw_data_1889.xls","2023-02-14","./data/raw/2018_02_12_raw_data_1889.xls",TRUE
"1890","Data (XLS)","19/02/2018","http://ec.europa.eu/energy/observatory/reports/2018_02_19_raw_data_1890.xls","2023-02-14","./data/raw/2018_02_19_raw_data_1890.xls",TRUE
"1891","Data (XLS)","26/02/2018","http://ec.europa.eu/energy/observatory/reports/2018_02_26_raw_data_1891.xls","2023-02-14","./data/raw/2018_02_26_raw_data_1891.xls",TRUE
"1892","Data (XLS)","05/03/2018","http://ec.europa.eu/energy/observatory/reports/2018_03_05_raw_data_1892.xls","2023-02-14","./data/raw/2018_03_05_raw_data_1892.xls",TRUE
"1893","Data (XLS)","12/03/2018","http://ec.europa.eu/energy/observatory/reports/2018_03_12_raw_data_1893.xls","2023-02-14","./data/raw/2018_03_12_raw_data_1893.xls",TRUE
"1894","Data (XLS)","19/03/2018","http://ec.europa.eu/energy/observatory/reports/2018_03_19_raw_data_1894.xls","2023-02-14","./data/raw/2018_03_19_raw_data_1894.xls",TRUE
"1895","Data (XLS)","26/03/2018","http://ec.europa.eu/energy/observatory/reports/2018_03_26_raw_data_1895.xls","2023-02-14","./data/raw/2018_03_26_raw_data_1895.xls",TRUE
"1896","Data (XLS)","09/04/2018","http://ec.europa.eu/energy/observatory/reports/2018_04_09_raw_data_1896.xls","2023-02-14","./data/raw/2018_04_09_raw_data_1896.xls",TRUE
"1897","Data (XLS)","16/04/2018","http://ec.europa.eu/energy/observatory/reports/2018_04_16_raw_data_1897.xls","2023-02-14","./data/raw/2018_04_16_raw_data_1897.xls",TRUE
"1898","Data (XLS)","23/04/2018","http://ec.europa.eu/energy/observatory/reports/2018_04_23_raw_data_1898.xls","2023-02-14","./data/raw/2018_04_23_raw_data_1898.xls",TRUE
"1899","Data (XLS)","30/04/2018","http://ec.europa.eu/energy/observatory/reports/2018_04_30_raw_data_1899.xls","2023-02-14","./data/raw/2018_04_30_raw_data_1899.xls",TRUE
"1900","Data (XLS)","07/05/2018","http://ec.europa.eu/energy/observatory/reports/2018_05_07_raw_data_1900.xls","2023-02-14","./data/raw/2018_05_07_raw_data_1900.xls",TRUE
"1901","Data (XLS)","14/05/2018","http://ec.europa.eu/energy/observatory/reports/2018_05_14_raw_data_1901.xls","2023-02-14","./data/raw/2018_05_14_raw_data_1901.xls",TRUE
"1902","Data (XLS)","21/05/2018","http://ec.europa.eu/energy/observatory/reports/2018_05_21_raw_data_1902.xls","2023-02-14","./data/raw/2018_05_21_raw_data_1902.xls",TRUE
"1903","Data (XLS)","28/05/2018","http://ec.europa.eu/energy/observatory/reports/2018_05_28_raw_data_1903.xls","2023-02-14","./data/raw/2018_05_28_raw_data_1903.xls",TRUE
"1904","Data (XLS)","04/06/2018","http://ec.europa.eu/energy/observatory/reports/2018_06_04_raw_data_1904.xls","2023-02-14","./data/raw/2018_06_04_raw_data_1904.xls",TRUE
"1905","Data (XLS)","11/06/2018","http://ec.europa.eu/energy/observatory/reports/2018_06_11_raw_data_1905.xls","2023-02-14","./data/raw/2018_06_11_raw_data_1905.xls",TRUE
"1906","Data (XLS)","18/06/2018","http://ec.europa.eu/energy/observatory/reports/2018_06_18_raw_data_1906.xls","2023-02-14","./data/raw/2018_06_18_raw_data_1906.xls",TRUE
"1907","Data (XLS)","25/06/2018","http://ec.europa.eu/energy/observatory/reports/2018_06_25_raw_data_1907.xls","2023-02-14","./data/raw/2018_06_25_raw_data_1907.xls",TRUE
"1908","Data (XLS)","02/07/2018","http://ec.europa.eu/energy/observatory/reports/2018_07_02_raw_data_1908.xls","2023-02-14","./data/raw/2018_07_02_raw_data_1908.xls",TRUE
"1909","Data (XLS)","09/07/2018","http://ec.europa.eu/energy/observatory/reports/2018_07_09_raw_data_1909.xls","2023-02-14","./data/raw/2018_07_09_raw_data_1909.xls",TRUE
"1910","Data (XLS)","16/07/2018","http://ec.europa.eu/energy/observatory/reports/2018_07_16_raw_data_1910.xls","2023-02-14","./data/raw/2018_07_16_raw_data_1910.xls",TRUE
"1911","Data (XLS)","23/07/2018","http://ec.europa.eu/energy/observatory/reports/2018_07_23_raw_data_1911.xls","2023-02-14","./data/raw/2018_07_23_raw_data_1911.xls",TRUE
"1912","Data (XLS)","30/07/2018","http://ec.europa.eu/energy/observatory/reports/2018_07_30_raw_data_1912.xls","2023-02-14","./data/raw/2018_07_30_raw_data_1912.xls",TRUE
"1913","Data (XLS)","06/08/2018","http://ec.europa.eu/energy/observatory/reports/2018_08_06_raw_data_1913.xls","2023-02-14","./data/raw/2018_08_06_raw_data_1913.xls",TRUE
"1914","Data (XLS)","13/08/2018","http://ec.europa.eu/energy/observatory/reports/2018_08_13_raw_data_1914.xls","2023-02-14","./data/raw/2018_08_13_raw_data_1914.xls",TRUE
"1915","Data (XLS)","20/08/2018","http://ec.europa.eu/energy/observatory/reports/2018_08_20_raw_data_1915.xls","2023-02-14","./data/raw/2018_08_20_raw_data_1915.xls",TRUE
"1916","Data (XLS)","27/08/2018","http://ec.europa.eu/energy/observatory/reports/2018_08_27_raw_data_1916.xls","2023-02-14","./data/raw/2018_08_27_raw_data_1916.xls",TRUE
"1917","Data (XLS)","03/09/2018","http://ec.europa.eu/energy/observatory/reports/2018_09_03_raw_data_1917.xls","2023-02-14","./data/raw/2018_09_03_raw_data_1917.xls",TRUE
"1918","Data (XLS)","10/09/2018","http://ec.europa.eu/energy/observatory/reports/2018_09_10_raw_data_1918.xlsx","2023-02-14","./data/raw/2018_09_10_raw_data_1918.xlsx",TRUE
"1919","Data (XLS)","17/09/2018","http://ec.europa.eu/energy/observatory/reports/2018_09_17_raw_data_1919.xlsx","2023-02-14","./data/raw/2018_09_17_raw_data_1919.xlsx",TRUE
